D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,1555,0.698836499,0.01219094,0.017444624,-0.005253684,0
1000,1556,0.815243845,0.000898382,0.001101979,-0.000203597,0.007357545
1000,1558,0.833920899,0.011224938,0.013460435,-0.002235497,0
1000,1559,0.662373976,0.013292182,0.020067488,-0.006775306,0
1000,1562,0.662053188,0.004356667,0.006580539,-0.002223872,0
1000,1563,0.756834902,0.002811065,0.003714238,-0.000903173,8.56E-11
1000,1564,0.791098367,0.001313762,0.001660681,-0.000346919,0.000196775
1000,1565,0.628013105,0.015378745,0.024487937,-0.009109192,0
1000,1566,0.714721663,0.003067055,0.004291258,-0.001224203,2.22E-16
1000,1569,0.918272245,0.390800767,0.425582685,-0.034781918,0
1000,1570,0.81698586,0.005303349,0.006491359,-0.00118801,1.06E-10
1000,1571,0.797440444,0.017465309,0.021901709,-0.0044364,0
1000,1572,0.666297768,0.000511981,0.000768396,-0.000256415,0.0000515
1000,1573,0.761674144,0.006805481,0.008934898,-0.002129417,0
1000,1653,0.930955874,0.000854911,0.000918316,-0.000063405,0.3623707
1000,1654,0.873119558,0.003371346,0.003861264,-0.000489918,0.000573374
1000,2003,0.782310178,0.020020383,0.025591362,-0.005570979,0
1000,2006,0.74162162,0.097696569,0.131733713,-0.034037143,0
1000,2018,0.738924158,0.001415192,0.001915206,-0.000500014,5.69E-07
1000,2035,1.476441247,0.000565111,0.000382752,0.000182359,8.29633E-05
1000,2038,0.924522358,0.000565111,0.000611246,-0.000046135,0.416530469
1000,2039,1.162640515,0.000429871,0.000369737,6.01341E-05,0.178304599
1000,2040,1.145306694,0.001516623,0.001324206,0.000192416,0.022656106
1000,2044,0.686482084,0.000656881,0.00095688,-0.000299999,2.18225E-05
1000,2051,0.766908734,0.016141886,0.021047989,-0.004906102,0
1000,2058,0.718635421,0.005380629,0.007487286,-0.002106657,0
1000,2059,0.81007391,0.002999435,0.003702668,-0.000703233,4.27E-07
1000,2064,0.686069562,0.015272485,0.02226084,-0.006988355,0
1000,2067,0.823207381,0.000507151,0.000616067,-0.000108916,0.055258318
1000,2072,0.769336854,0.001019132,0.001324689,-0.000305557,0.000240048
1000,2073,0.87270625,0.016465497,0.01886717,-0.002401673,1.49E-14
1000,2136,0.950431561,0.000400891,0.000421799,-0.000020908,0.657955969
1000,2139,0.761882802,0.003675636,0.004824411,-0.001148775,4.29E-13
1000,2140,0.750524548,0.005076338,0.006763721,-0.001687382,0
1000,2141,0.942931912,0.000594091,0.000630047,-0.000035956,0.5331387
1000,2143,0.85529582,0.001371722,0.001603799,-0.000232076,0.011399773
1000,2146,0.849719562,0.000579601,0.000682109,-0.000102508,0.086661908
1000,2147,0.820747271,0.010012606,0.012199378,-0.002186772,0
1000,2149,0.913496098,0.003670806,0.004018415,-0.000347609,0.016747193
1000,2150,0.710879119,0.000816271,0.001148256,-0.000331985,1.79788E-05
1000,2157,0.778694258,0.00610996,0.007846417,-0.001736457,0
1000,2162,0.568273521,0.008602244,0.015137506,-0.006535262,0
1000,2163,0.590310694,0.001091582,0.001849165,-0.000757583,1.31E-14
1000,2167,0.596874116,0.019914123,0.033364024,-0.013449902,0
1000,2168,1.017057937,0.002472964,0.002431488,4.14762E-05,0.715027424
1000,2173,0.814488255,0.000560281,0.000687893,-0.000127612,0.033509013
1000,2176,0.692641757,0.001835403,0.002649859,-0.000814456,4.21E-12
1000,2178,0.780308215,0.000333271,0.000427101,-0.000093831,0.047133888
1000,2180,0.608302418,0.000338101,0.00055581,-0.000217709,5.37184E-05
1000,2190,0.802129895,0.003038075,0.00378751,-0.000749435,9.87E-08
1000,2196,0.703130515,0.001449002,0.002060787,-0.000611785,3.60E-09
1000,2197,0.60117659,0.000550621,0.000915905,-0.000365285,1.30E-07
1000,2205,1.072747739,0.000710011,0.000661862,0.000048149,0.41823835
1000,2206,0.911582288,0.018639,0.020446865,-0.001807865,2.73E-08
1000,2207,0.856229742,0.013210072,0.015428186,-0.002218114,4.44E-15
1000,2208,0.782483815,0.000396061,0.000506158,-0.000110098,0.032387395
1000,2209,1.1292075,0.000647221,0.000573164,7.40571E-05,0.182223779
1000,2211,0.813185726,0.00027048,0.000332618,-0.000062138,0.136617572
1000,2212,0.801446894,0.001270292,0.001584998,-0.000314706,0.000547787
1000,2213,0.688225214,0.000700351,0.001017619,-0.000317268,1.33804E-05
1000,2214,0.775609608,0.005443419,0.007018246,-0.001574827,2.22E-16
1000,2215,0.698581197,0.002381194,0.003408614,-0.00102742,1.27E-14
1000,2224,1.041596974,0.000545791,0.000523994,2.17966E-05,0.680015192
1000,2230,0.662626906,0.002593714,0.003914291,-0.001320576,0
1000,2231,0.862557228,0.022285656,0.025836728,-0.003551071,0
1000,2234,0.913794128,0.001236482,0.00135313,-0.000116648,0.167073282
1000,2235,0.84706209,0.001550433,0.001830365,-0.000279932,0.004266015
1000,2238,0.573679536,0.000560281,0.000976644,-0.000416363,5.80E-09
1000,2239,0.698780438,0.000598921,0.000857095,-0.000258174,0.000113352
1000,2242,0.755126091,0.062012471,0.082122008,-0.020109537,0
