D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,1372,0.873606,0.000632,0.000723,-0.000091,0.138213
1000,1374,0.65012,0.006879,0.010581,-0.003702,0
1000,1375,0.499735,0.000583,0.001167,-0.000584,0
1000,1376,0.597726,0.120634,0.201821,-0.081187,0
1000,1377,0.726454,0.119439,0.164413,-0.044974,0
1000,1378,0.692512,0.134173,0.193749,-0.059576,0
1000,1379,0.635835,0.078844,0.124,-0.045156,0
1000,1380,0.855386,0.003192,0.003731,-0.000539,0.000113
1000,1381,0.661105,0.079835,0.120759,-0.040924,0
1000,1383,0.637842,0.003221,0.00505,-0.001829,0
1000,1385,0.693902,0.177416,0.255679,-0.078263,0
1000,1386,0.784678,0.044423,0.056613,-0.01219,0
1000,1387,0.953502,0.008487,0.008901,-0.000414,0.055363
1000,1388,0.703402,0.31072,0.441739,-0.131019,0
1000,1389,0.641594,0.121226,0.188946,-0.06772,0
1000,1390,0.651661,0.049646,0.076184,-0.026538,0
1000,1391,0.539665,0.000908,0.001683,-0.000775,0
1000,1392,0.664593,0.004606,0.00693,-0.002324,0
1000,1393,0.649197,0.031282,0.048186,-0.016904,0
1000,1394,0.58783,0.030053,0.051125,-0.021072,0
1000,1395,0.659767,0.164591,0.249468,-0.084877,0
1000,1396,0.798009,0.004285,0.00537,-0.001085,0
1000,1397,0.625198,0.000636,0.001018,-0.000382,0
1000,1398,0.716272,0.008006,0.011178,-0.003172,0
1000,1399,0.547387,0.000476,0.00087,-0.000394,0
1000,1400,0.59646,0.003736,0.006264,-0.002528,0
1000,1401,0.675255,0.26963,0.3993,-0.12967,0
1000,1402,0.624229,0.005747,0.009207,-0.00346,0
1000,1403,0.587276,0.003964,0.00675,-0.002786,0
1000,1404,0.769597,0.039793,0.051707,-0.011914,0
1000,1405,0.770857,0.011125,0.014432,-0.003307,0
1000,1407,0.974887,0.013438,0.013784,-0.000346,0.197094
1000,1408,0.663053,0.001317,0.001986,-0.000669,0
1000,1409,0.771537,0.012665,0.016416,-0.003751,0
1000,1410,0.784255,0.021012,0.026792,-0.00578,0
1000,1411,0.638603,0.00839,0.013138,-0.004748,0
1000,1412,1.032897,0.000768,0.000743,0.000025,0.697372
1000,1413,0.578328,0.005504,0.009518,-0.004014,0
1000,1414,0.653899,0.003979,0.006085,-0.002106,0
1000,1416,0.605336,0.000996,0.001645,-0.000649,0
1000,1417,0.747341,0.061952,0.082896,-0.020944,0
1000,1418,0.611584,0.0298,0.048726,-0.018926,0
1000,1420,0.771916,0.000301,0.00039,-0.000089,0.048875
1000,1421,0.656099,0.004508,0.006872,-0.002364,0
1000,1422,0.794332,0.008541,0.010752,-0.002211,0
1000,1424,0.704829,0.001151,0.001634,-0.000483,0
1000,1425,0.818264,0.000656,0.000802,-0.000146,0.024593
1000,1426,0.70597,0.003673,0.005202,-0.001529,0
1000,1427,0.833097,0.00994,0.011931,-0.001991,0
1000,1428,0.846251,0.021099,0.024932,-0.003833,0
1000,1429,0.622527,0.016202,0.026026,-0.009824,0
1000,1430,0.746449,0.091242,0.122234,-0.030992,0
1000,1431,0.578985,0.003814,0.006587,-0.002773,0
1000,1437,0.75495,0.023271,0.030824,-0.007553,0
1000,1438,0.880056,0.007423,0.008435,-0.001012,1.00E-06
1000,1439,0.977006,0.01078,0.011034,-0.000254,0.291345
1000,1440,0.840146,0.096722,0.115125,-0.018403,0
1000,1441,0.746912,0.026827,0.035917,-0.00909,0
1000,1442,0.691291,0.087919,0.12718,-0.039261,0
1000,1443,0.758146,0.189499,0.24995,-0.060451,0
1000,1444,0.866019,0.002818,0.003254,-0.000436,0.000843
1000,1445,0.7173,0.000583,0.000813,-0.00023,0.000422
1000,1446,0.812042,0.00033,0.000407,-0.000077,0.097692
1000,1448,0.680042,0.005004,0.007358,-0.002354,0
1000,1449,0.751817,0.038336,0.050991,-0.012655,0
